,scores
0,20
1,31
2,7
3,28
4,21
5,23
6,28
7,51
8,13
9,15
10,21
11,10
12,17
13,11
14,22
15,9
16,10
17,12
18,13
19,21
20,18
21,13
22,13
23,29
24,14
25,21
26,24
27,19
28,16
29,7
30,21
31,11
32,55
33,11
34,28
35,34
36,13
37,10
38,12
39,31
40,9
41,17
42,33
43,13
44,17
45,26
46,15
47,10
48,22
49,17
50,9
51,38
52,12
53,15
54,27
55,31
56,33
57,41
58,20
59,41
60,14
61,14
62,22
63,43
64,11
65,12
66,30
67,12
68,20
69,17
70,69
71,53
72,21
73,22
74,18
75,33
76,13
77,25
78,11
79,39
80,17
81,16
82,18
83,37
84,12
85,16
86,32
87,15
88,31
89,31
90,25
91,32
92,14
93,10
94,12
95,15
96,18
97,38
98,22
99,22
100,32
101,20
102,13
103,15
104,40
105,15
106,17
107,29
108,15
109,47
110,16
111,23
112,40
113,11
114,11
115,19
116,11
117,17
118,23
119,18
120,18
121,15
122,33
123,43
124,30
125,19
126,10
127,25
128,17
129,12
130,14
131,19
132,18
133,35
134,12
135,21
136,19
137,30
138,26
139,13
140,9
141,14
142,48
143,19
144,14
145,10
146,38
147,11
148,21
149,15
