,scores
0,30
1,15
2,9
3,38
4,15
5,14
6,12
7,23
8,29
9,16
10,17
11,26
12,8
13,38
14,18
15,18
16,47
17,15
18,18
19,19
20,17
21,37
22,13
23,50
24,15
25,17
26,21
27,25
28,57
29,22
30,45
31,12
32,28
33,18
34,55
35,20
36,22
37,26
38,27
39,26
40,26
41,13
42,46
43,13
44,17
45,11
46,10
47,14
48,12
49,32
50,28
51,21
52,14
53,10
54,13
55,14
56,12
57,11
58,17
59,73
60,23
61,18
62,15
63,33
64,15
65,12
66,18
67,17
68,23
69,11
70,23
71,24
72,13
73,33
74,27
75,10
76,24
77,16
78,16
79,18
80,10
81,30
82,29
83,19
84,10
85,13
86,11
87,14
88,11
89,11
90,12
91,16
92,23
93,43
94,24
95,17
96,15
97,14
98,31
99,12
100,16
101,20
102,25
103,25
104,29
105,30
106,22
107,10
108,34
109,18
110,31
111,11
112,13
113,12
114,10
115,23
116,9
117,20
118,22
119,9
120,17
121,59
122,13
123,16
124,9
125,20
126,9
127,11
128,20
129,25
130,27
131,16
132,15
133,37
134,8
135,20
136,13
137,17
138,13
139,7
140,13
141,15
142,24
143,18
144,31
145,9
146,12
147,11
148,24
149,19
