,scores
0,10
1,9
2,11
3,18
4,13
5,17
6,22
7,27
8,16
9,9
10,29
11,29
12,16
13,15
14,15
15,44
16,12
17,15
18,15
19,17
20,50
21,9
22,34
23,8
24,20
25,29
26,12
27,13
28,24
29,13
30,30
31,18
32,14
33,22
34,53
35,24
36,41
37,27
38,12
39,21
40,25
41,18
42,21
43,16
44,34
45,26
46,30
47,11
48,22
49,15
50,18
51,43
52,24
53,15
54,10
55,12
56,12
57,12
58,17
59,10
60,38
61,11
62,22
63,41
64,25
65,15
66,10
67,27
68,19
69,14
70,17
71,28
72,13
73,31
74,22
75,25
76,10
77,13
78,14
79,15
80,54
81,8
82,15
83,9
84,14
85,15
86,9
87,19
88,10
89,29
90,22
91,17
92,33
93,9
94,16
95,11
96,14
97,12
98,18
99,11
100,11
101,15
102,11
103,15
104,22
105,13
106,15
107,16
108,20
109,10
110,17
111,27
112,10
113,46
114,30
115,16
116,17
117,17
118,29
119,13
120,10
121,10
122,10
123,11
124,14
125,9
126,14
127,8
128,14
129,13
130,8
131,14
132,12
133,25
134,30
135,14
136,13
137,24
138,13
139,17
140,29
141,35
142,13
143,9
144,10
145,43
146,16
147,13
148,23
149,13
