,scores
0,28
1,11
2,14
3,78
4,28
5,12
6,25
7,9
8,33
9,10
10,20
11,17
12,37
13,19
14,29
15,12
16,57
17,17
18,44
19,31
20,8
21,45
22,27
23,24
24,15
25,12
26,15
27,12
28,18
29,12
30,11
31,16
32,16
33,41
34,22
35,10
36,32
37,17
38,11
39,13
40,21
41,28
42,9
43,12
44,23
45,31
46,16
47,27
48,14
49,13
50,11
51,10
52,8
53,29
54,13
55,52
56,39
57,63
58,16
59,34
60,9
61,36
62,76
63,14
64,67
65,40
66,61
67,14
68,11
69,15
70,10
71,10
72,86
73,30
74,62
75,13
76,34
77,10
78,11
79,17
80,11
81,11
82,13
83,17
84,10
85,16
86,51
87,54
88,49
89,17
90,13
91,47
92,62
93,16
94,31
95,27
96,28
97,10
98,63
99,11
