,scores
0,30
1,14
2,30
3,14
4,15
5,18
6,14
7,55
8,15
9,32
10,73
11,34
12,35
13,16
14,13
15,26
16,22
17,7
18,11
19,33
20,16
21,12
22,25
23,54
24,15
25,7
26,20
27,31
28,44
29,21
30,8
31,24
32,12
33,18
34,11
35,10
36,22
37,11
38,14
39,25
40,24
41,23
42,16
43,10
44,79
45,8
46,12
47,18
48,16
49,9
50,12
51,17
52,16
53,9
54,25
55,10
56,29
57,23
58,9
59,13
60,12
61,15
62,10
63,16
64,15
65,27
66,9
67,17
68,65
69,33
70,20
71,22
72,13
73,16
74,16
75,13
76,26
77,9
78,12
79,36
80,15
81,18
82,20
83,25
84,22
85,9
86,44
87,66
88,18
89,8
90,19
91,51
92,57
93,56
94,7
95,17
96,17
97,17
98,25
99,14
100,15
101,24
102,11
103,29
104,9
105,16
106,21
107,14
108,23
109,20
110,24
111,11
112,15
113,10
114,32
115,35
116,32
117,24
118,28
119,22
120,31
121,13
122,7
123,34
124,8
125,8
126,9
127,13
128,32
129,14
130,10
131,43
132,25
133,25
134,26
135,13
136,44
137,42
138,11
139,8
140,23
141,15
142,12
143,50
144,18
145,16
146,17
147,13
148,53
149,14
